VSAMP,SAMPN,VEHNO,YEAR,BODY,O_BODY,FUEL,O_FUEL,EZPAS,CNTV,O_CNTV,HH1,HH_WHT2
300155901,3001559,1,1987,1, ,1, ,1,1, ,318.16667,51.32810601
300155902,3001559,2,1991,1, ,1, ,1,2,NEEDS REPAIR,318.16667,51.32810601
300162301,3001623,1,2009,2, ,2, ,1,1, ,249.25,454.1062048
300162302,3001623,2,2010,1, ,1, ,1,1, ,249.25,454.1062048
300163301,3001633,1,2004,4, ,1, ,2,1, ,124.92857,180.8993383
300163302,3001633,2,2000,2, ,1, ,2,1, ,124.92857,180.8993383
300165401,3001654,1,2006,1, ,1, ,2,1, ,1266.5,2357.135409
300167601,3001676,1,2010,1, ,1, ,1,1, ,179.875,294.0994661
300167602,3001676,2,2010,2, ,1, ,1,1, ,179.875,294.0994661
300167603,3001676,3,2008,1, ,1, ,1,1, ,179.875,294.0994661
300173201,3001732,1,2009,2, ,1, ,1,1, ,658.5,716.5465634
300173701,3001737,1,2010,1, ,1, ,1,1, ,187.57143,71.46282915
300173702,3001737,2,2008,1, ,1, ,1,1, ,187.57143,71.46282915
300173703,3001737,3,2007,1, ,1, ,1,2,NOT NEEDED,187.57143,71.46282915
300175401,3001754,1,2004,2, ,1, ,1,1, ,1220,153.5806658
300175402,3001754,2,2006,1, ,1, ,1,1, ,1220,153.5806658
300177601,3001776,1,2010,2, ,1, ,1,1, ,394.8,348.5449927
300177602,3001776,2,2000,4, ,1, ,2,1, ,394.8,348.5449927
300184601,3001846,1,2004,1, ,1, ,1,1, ,353.28571,255.4223989
300186501,3001865,1,1997,1, ,1, ,1,2,USED DIFFERENT MODE,253.3,57.88013599
300197401,3001974,1,2003,1, ,1, ,1,1, ,194.6,182.401171
300197402,3001974,2,2002,1, ,1, ,1,1, ,194.6,182.401171
300198201,3001982,1,2011,1, ,1, ,1,1, ,935,1087.64706
300199801,3001998,1,2002,1, ,1, ,2,2,NOT NEEDED,357.14286,371.533382
300199802,3001998,2,2010,1, ,1, ,2,1, ,357.14286,371.533382
300202101,3002021,1,2010,2, ,1, ,1,1, ,138.15789,50.39903223
300202102,3002021,2,2004,1, ,1, ,2,2,NOT NEEDED,138.15789,50.39903223
300206701,3002067,1,2000,2, ,1, ,2,1, ,853.66667,436.3368124
300206702,3002067,2,2007,3, ,1, ,1,1, ,853.66667,436.3368124
300206801,3002068,1,9998,1, ,1, ,1,1, ,454.5,1650.082971
300206802,3002068,2,1996,1, ,1, ,1,2,NOT NEEDED,454.5,1650.082971
300206803,3002068,3,1996,3, ,1, ,1,2,NOT NEEDED,454.5,1650.082971
300207701,3002077,1,1990,1, ,1, ,1,2,NOT NEEDED,56.92593,144.8829683
300208101,3002081,1,2002,1, ,1, ,1,1, ,1054,586.4978382
300208102,3002081,2,1995,1, ,1, ,2,2,NOT NEEDED,1054,586.4978382
300216701,3002167,1,1993,1, ,1, ,1,1, ,408.8,314.4740921
300217701,3002177,1,2011,1, ,1, ,1,1, ,264.5,666.5577504
300217702,3002177,2,2004,2, ,1, ,1,1, ,264.5,666.5577504
300218301,3002183,1,2000,1, ,1, ,1,1, ,545,1467.047309
300218302,3002183,2,2005,1, ,1, ,1,2,DK/RF,545,1467.047309
300220001,3002200,1,2008,2, ,1, ,1,1, ,237,161.2766168
300220002,3002200,2,2006,1, ,1, ,1,1, ,237,161.2766168
300220003,3002200,3,1996,1, ,1, ,1,2,NOT NEEDED,237,161.2766168
300220004,3002200,4,1993,3, ,1, ,1,1, ,237,161.2766168
300222801,3002228,1,9999,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300222802,3002228,2,9998,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300222803,3002228,3,9998,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300222804,3002228,4,9998,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300222805,3002228,5,9999,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300222806,3002228,6,9999,99, ,9, ,9,2,NOT NEEDED,846.66667,97.57351972
300224401,3002244,1,2007,2, ,1, ,1,2,NOT NEEDED,290,257.9750804
300224402,3002244,2,2003,1, ,1, ,1,2,NOT NEEDED,290,257.9750804
300228001,3002280,1,2011,1, ,1, ,1,2,NOT NEEDED,194.06667,393.359946
300228002,3002280,2,2003,1, ,1, ,1,2,NOT NEEDED,194.06667,393.359946
300228003,3002280,3,2008,4, ,1, ,1,1, ,194.06667,393.359946
300228004,3002280,4,2010,1, ,1, ,1,1, ,194.06667,393.359946
300237201,3002372,1,2002,1, ,1, ,1,1, ,387.5,603.9412225
300237202,3002372,2,1996,1, ,1, ,2,2,USED DIFFERENT MODE,387.5,603.9412225
300242001,3002420,1,2003,2, ,1, ,1,1, ,1016,1620.340665
300242002,3002420,2,2007,1, ,1, ,1,2,NOT NEEDED,1016,1620.340665
300242003,3002420,3,1999,1, ,1, ,1,2,NOT NEEDED,1016,1620.340665
300249701,3002497,1,2007,1, ,1, ,1,2,MAIL-IN,1277.75,1743.002379
300256401,3002564,1,2005,1, ,1, ,2,2,NOT NEEDED,849,1261.34328
300258501,3002585,1,2007,2, ,1, ,1,1, ,97,188.5017193
300258502,3002585,2,1996,1, ,1, ,1,1, ,97,188.5017193
300259501,3002595,1,2001,1, ,1, ,1,1, ,357.14286,559.3830911
300259502,3002595,2,2002,1, ,1, ,1,2,NOT NEEDED,357.14286,559.3830911
300270701,3002707,1,2000,3, ,1, ,2,1, ,1499.5,2714.513213
300278001,3002780,1,2006,3, ,1, ,1,1, ,529.33333,1217.482227
300278901,3002789,1,2000,1, ,1, ,1,2,NOT NEEDED,153.21429,73.10701308
300278902,3002789,2,2006,2, ,3, ,1,1, ,153.21429,73.10701308
300288001,3002880,1,2010,2, ,1, ,1,1, ,71.92857,61.70243818
300288002,3002880,2,2008,3, ,1, ,2,1, ,71.92857,61.70243818
300297601,3002976,1,2003,1, ,1, ,1,1, ,68.05263,126.2989186
300297602,3002976,2,1998,1, ,1, ,1,2,NOT NEEDED,68.05263,126.2989186
300297603,3002976,3,2001,1, ,1, ,2,1, ,68.05263,126.2989186
300300401,3003004,1,2004,3, ,1, ,1,1, ,1950,828.2541131
300300402,3003004,2,2004,1, ,1, ,1,1, ,1950,828.2541131
